URL handle,Title,Description,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Option1 value,Option2 name,Option2 value,SKU,Barcode,Price,Compare-at price,Cost per item,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description
fl021-mira-ballet-flat,,,,,,,,,Colour,Navy,Size,40,FL021-NAV-40,,55.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Navy,Size,41,FL021-NAV-41,,55.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,Río court sneaker,<p>Clean leather court sneaker with a cushioned sole. Pairs with everything from jeans to a dress.</p>,BELLUCCI,Apparel & Accessories > Shoes,Sneakers,"SNKR,LTHR,H1,WHT,GRN,PT",FALSE,draft,Colour,White,Size,35,SN009-WHT-35,,68.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,Río court sneaker | BELLUCCI,Clean leather court sneaker with a cushioned sole. Pairs with everything from jeans to a dress.
sn009-rio-court-sneaker,,,,,,,,,Colour,White,Size,36,SN009-WHT-36,,68.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,White,Size,37,SN009-WHT-37,,68.00,,,TRUE,shopify,4,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,White,Size,38,SN009-WHT-38,,68.00,,,TRUE,shopify,5,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,White,Size,39,SN009-WHT-39,,68.00,,,TRUE,shopify,5,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,White,Size,40,SN009-WHT-40,,68.00,,,TRUE,shopify,4,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,White,Size,41,SN009-WHT-41,,68.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,Green,Size,35,SN009-GRN-35,,68.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,Green,Size,36,SN009-GRN-36,,68.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,Green,Size,37,SN009-GRN-37,,68.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,Green,Size,38,SN009-GRN-38,,68.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,Green,Size,39,SN009-GRN-39,,68.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,Green,Size,40,SN009-GRN-40,,68.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
sn009-rio-court-sneaker,,,,,,,,,Colour,Green,Size,41,SN009-GRN-41,,68.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,Isla strappy sandal,"<p>Patent strappy sandal on a 6 cm block heel, secured with an adjustable ankle strap.</p>",BELLUCCI,Apparel & Accessories > Shoes,Sandals,"SAND,PATN,H2,GLD,RED,ES,Made in Spain",FALSE,draft,Colour,Gold,Size,35,SD012-GLD-35,,62.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,Isla strappy sandal | BELLUCCI,"Patent strappy sandal on a 6 cm block heel, secured with an adjustable ankle strap."
sd012-isla-strappy-sandal,,,,,,,,,Colour,Gold,Size,36,SD012-GLD-36,,62.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Gold,Size,37,SD012-GLD-37,,62.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Gold,Size,38,SD012-GLD-38,,62.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Gold,Size,39,SD012-GLD-39,,62.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Gold,Size,40,SD012-GLD-40,,62.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Gold,Size,41,SD012-GLD-41,,62.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Red,Size,35,SD012-RED-35,,62.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Red,Size,36,SD012-RED-36,,62.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Red,Size,37,SD012-RED-37,,62.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Red,Size,38,SD012-RED-38,,62.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Red,Size,39,SD012-RED-39,,62.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Red,Size,40,SD012-RED-40,,62.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
sd012-isla-strappy-sandal,,,,,,,,,Colour,Red,Size,41,SD012-RED-41,,62.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,Aspen ankle boot,<p>Leather ankle boot with a 5 cm stacked heel and an inside zip. A year-round staple.</p>,BELLUCCI,Apparel & Accessories > Shoes,Boots,"BOOT,LTHR,H2,BLK,BRN,ES,Made in Spain",FALSE,draft,Colour,Black,Size,35,BT004-BLK-35,,120.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,Aspen ankle boot | BELLUCCI,Leather ankle boot with a 5 cm stacked heel and an inside zip. A year-round staple.
bt004-aspen-ankle-boot,,,,,,,,,Colour,Black,Size,36,BT004-BLK-36,,120.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Black,Size,37,BT004-BLK-37,,120.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Black,Size,38,BT004-BLK-38,,120.00,,,TRUE,shopify,4,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Black,Size,39,BT004-BLK-39,,120.00,,,TRUE,shopify,4,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Black,Size,40,BT004-BLK-40,,120.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Black,Size,41,BT004-BLK-41,,120.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Brown,Size,35,BT004-BRN-35,,120.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Brown,Size,36,BT004-BRN-36,,120.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Brown,Size,37,BT004-BRN-37,,120.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Brown,Size,38,BT004-BRN-38,,120.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Brown,Size,39,BT004-BRN-39,,120.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Brown,Size,40,BT004-BRN-40,,120.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
bt004-aspen-ankle-boot,,,,,,,,,Colour,Brown,Size,41,BT004-BRN-41,,120.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,Dune espadrille wedge,<p>Canvas espadrille wedge with a jute-wrapped 8 cm sole and an adjustable ankle tie.</p>,BELLUCCI,Apparel & Accessories > Shoes,Wedges,"WEDG,CANV,H3,BEI,BLK,ES,Made in Spain",FALSE,draft,Colour,Beige,Size,35,WG003-BEI-35,,58.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,Dune espadrille wedge | BELLUCCI,Canvas espadrille wedge with a jute-wrapped 8 cm sole and an adjustable ankle tie.
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Beige,Size,36,WG003-BEI-36,,58.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Beige,Size,37,WG003-BEI-37,,58.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Beige,Size,38,WG003-BEI-38,,58.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Beige,Size,39,WG003-BEI-39,,58.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Beige,Size,40,WG003-BEI-40,,58.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Beige,Size,41,WG003-BEI-41,,58.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Black,Size,35,WG003-BLK-35,,58.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Black,Size,36,WG003-BLK-36,,58.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Black,Size,37,WG003-BLK-37,,58.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Black,Size,38,WG003-BLK-38,,58.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Black,Size,39,WG003-BLK-39,,58.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Black,Size,40,WG003-BLK-40,,58.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
wg003-dune-espadrille-wedge,,,,,,,,,Colour,Black,Size,41,WG003-BLK-41,,58.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
bg007-layla-crossbody,Layla crossbody,<p>Structured crossbody in genuine leather with an adjustable 120 cm strap and a fabric-lined interior.</p>,BELLUCCI,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Crossbody,"CROS,LTHR,TAN,BLK,ES,Made in Spain",FALSE,draft,Colour,Tan,,,BG007-TAN-OS,,95.00,,,TRUE,shopify,4,deny,600,g,TRUE,manual,,,,,FALSE,Layla crossbody | BELLUCCI,Structured crossbody in genuine leather with an adjustable 120 cm strap and a fabric-lined interior.
bg007-layla-crossbody,,,,,,,,,Colour,Black,,,BG007-BLK-OS,,95.00,,,TRUE,shopify,6,deny,600,g,TRUE,manual,,,,,FALSE,,
tt005-beirut-tote,Beirut tote,<p>Roomy canvas tote with leather handles and a zip-top closure. Fits a laptop and a day's errands.</p>,BELLUCCI,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Tote,"TOTE,CANV,NAV,OLV,BLK,PT",FALSE,draft,Colour,Navy,,,TT005-NAV-OS,,78.00,,,TRUE,shopify,5,deny,600,g,TRUE,manual,,,,,FALSE,Beirut tote | BELLUCCI,Roomy canvas tote with leather handles and a zip-top closure. Fits a laptop and a day's errands.
tt005-beirut-tote,,,,,,,,,Colour,Olive,,,TT005-OLV-OS,,78.00,,,TRUE,shopify,3,deny,600,g,TRUE,manual,,,,,FALSE,,
tt005-beirut-tote,,,,,,,,,Colour,Black,,,TT005-BLK-OS,,78.00,,,TRUE,shopify,7,deny,600,g,TRUE,manual,,,,,FALSE,,
cl002-yasmine-clutch,Yasmine clutch,<p>Satin evening clutch with a concealed magnetic clasp and a fine chain you can tuck inside.</p>,BELLUCCI,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Clutch,"CLCH,SATN,BRG,SLV,ES,Made in Spain",FALSE,draft,Colour,Burgundy,,,CL002-BRG-OS,,48.00,,,TRUE,shopify,4,deny,600,g,TRUE,manual,,,,,FALSE,Yasmine clutch | BELLUCCI,Satin evening clutch with a concealed magnetic clasp and a fine chain you can tuck inside.
cl002-yasmine-clutch,,,,,,,,,Colour,Silver,,,CL002-SLV-OS,,48.00,,,TRUE,shopify,2,deny,600,g,TRUE,manual,,,,,FALSE,,
sh006-noor-shoulder-bag,Noor shoulder bag,<p>Structured suede shoulder bag with an adjustable strap and a suede-lined interior.</p>,BELLUCCI,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",Shoulder bag,"SHLD,SUED,BRN,GRY,ES,Made in Spain",FALSE,draft,Colour,Brown,,,SH006-BRN-OS,,88.00,,,TRUE,shopify,3,deny,600,g,TRUE,manual,,,,,FALSE,Noor shoulder bag | BELLUCCI,Structured suede shoulder bag with an adjustable strap and a suede-lined interior.
sh006-noor-shoulder-bag,,,,,,,,,Colour,Grey,,,SH006-GRY-OS,,88.00,,,TRUE,shopify,5,deny,600,g,TRUE,manual,,,,,FALSE,,
